Column_Name	DataType	MaxLength	Mapping Type	Mapping Value
CustomerNumber	VARCHAR		PASSTHRU	GFPF.GFCPNC
AccountNumber	VARCHAR		PASSTHRU	SCPF.SCAB||SCPF.SCAN||SCPF.SCAS
SubProductId	VARCHAR	60	PASSTHRU	REPLACE(REPLACE(REPLACE(dest_prod_subcode, CHR(10)), CHR(13)), CHR(9))
Productid	VARCHAR	16	PASSTHRU	DEST_PROD_CODE
Branch	VARCHAR		PASSTHRU	CONVERT_CODES('BRANCH', SCPF.SCAB)
ISOCurrencyCode	VARCHAR		PASSTHRU	SCPF.SCCCY
AccountName	VARCHAR	100	PASSTHRU	SCPF.SCSHN
AccountStatus	VARCHAR	20	PASSTHRU	CASE WHEN SCAI30 = 'Y' THEN 'Closed' when scai17 = 'Y' then 'Stopped' when scai20 = 'Y' then 'Dormant' else 'Activated' END
AccRightsIndicator	DECIMAL		CONSTANT	0
ClearedBalance	DECIMAL		PASSTHRU	(SCPF.SCBAL-(SCPF.SCSUM1+SCPF.SCSUM2))/POWER(10,C8PF.C8CED)
BookedBalance	DECIMAL		PASSTHRU	SCPF.SCBAL/POWER(10,C8PF.C8CED)
BlockedBalance	DECIMAL		PASSTHRU	SCPF.SCRBA/POWER(10,C8PF.C8CED)
ChequeDepositBalance	DECIMAL		PASSTHRU	(SCPF.SCSUM1+SCPF.SCSUM2)/POWER(10,C8PF.C8CED)
LastInterestAccuralDate	DATE		PASSTHRU	NVL(EQ3_TO_ORACLE_DATE( S5PF.S5LCDC),CONVERT_CODES('CONSTANT','LAST_INT_ACCR_DATE'))
AccruedCreditInterest	DECIMAL		PASSTHRU	CASE   WHEN S5AM1C >= 0 THEN ABS(TO_NUMBER(((S5PF.S5AM4C)/POWER(10,C8PF.C8CED)) + ((S5PF.S5AM1C)/POWER(10,C8PF.C8CED)))) ELSE ABS(TO_NUMBER((S5PF.S5AM4C)/POWER(10,C8PF.C8CED))) END
DebitAccruedInterest	DECIMAL		PASSTHRU	CASE WHEN S5AM1D <= 0 THEN ABS(TO_NUMBER(((S5AM4D)/POWER(10,C8PF.C8CED)) + ((S5PF.S5AM1D)/POWER(10,C8PF.C8CED)))) ELSE ABS(TO_NUMBER((S5AM4D)/POWER(10,C8PF.C8CED))) END
CreditLimit	DECIMAL		CONSTANT	0
DebitLimit	DECIMAL		PASSTHRU	CASE  WHEN SCPF.SCODL IS NULL THEN 0 ELSE  SCPF.SCODL  END
LimitExcessaction	INTEGER		CONSTANT	0
